x,y,hue,cat,location,name
-15.430913,-25.48658,5,Health Care,Bay Area,Diagnoss
-28.846525,27.535986,2,"Mobile, Personal Health, Wellness",Los Angeles,Bloom AI
-8.409653,-3.415464,4,"Analytics, B2B, Business Intelligence, Machine Learning, Predictive Analytics, SaaS",New York,Repetere
24.593172,-23.487982,4,"Analytics, Big Data, Consumer Electronics, Information Technology, Machine Learning, Software",New York,ViSR
-30.582727,26.75962,2,"Machine Learning, Natural Language Processing, Predictive Analytics, Psychology",Los Angeles,psyML
21.470871,1.8748553,5,"Health Care, Life Science, Medical Device, SaaS",Bay Area,Pera Labs
-25.273115,6.749066,5,"Education, Machine Learning, Natural Language Processing, Text Analytics",Bay Area,Tolstoy
-16.687696,-23.24691,5,"Consumer Software, Fitness, Health Care, Information Technology, Lifestyle, Machine Learning, Nutrition, Sports, Wellness",Bay Area,Fitness Lab Inc
32.09906,24.05783,5,"Information Services, Information Technology",Bay Area,milk+honey
-17.828367,-28.712856,5,"Developer Platform, Developer Tools, Machine Learning, SaaS, Software",Bay Area,Atalaya
43.5982,14.8790865,4,"Financial Services, Hedge Funds, Machine Learning",New York,Alpha Beta Investments LP
-27.864756,8.23326,5,"Big Data, SaaS",Bay Area,StepFunction.ai
-3.95195,2.1467385,5,"Information Technology, Machine Learning, Mobile Apps",Bay Area,Tuml
8.640883,-45.97289,4,"Cyber Security, Information Technology, Security, Software",New York,Simplerity
26.108402,-27.115065,2,"FinTech, Information Technology, Internet, Machine Learning",Los Angeles,Omnidya
-32.035538,27.86034,0,"Big Data, FinTech, Lead Generation, Lending, Real Estate",Austin,Likely.ai
4.3059006,26.836655,4,"Education, Machine Learning, Software, Sports",New York,Texti
-11.783,48.98748,0,"Cloud Security, Cyber Security, Internet, Machine Learning, SaaS",Austin,"Parassure, Inc."
-32.977776,27.998112,5,"Consulting, Information Technology, Innovation Management, Management Consulting, Robotics",Bay Area,RPA Officer â¢
25.08811,-23.006538,0,"Information Technology, Security, Software",Austin,HackNotice
11.972775,-51.046726,4,"Analytics, Big Data, Marketing",New York,SportsBiz
-24.260225,-37.503582,5,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Exchanges, Financial Services, Hedge Funds, Machine Learning, Personal Finance, Software, Stock Exchanges, Trading Platform, Venture Capital, Virtual Currency",Bay Area,Logic0x LLC
-16.01902,-27.17765,5,"Big Data, Computer, Information Technology, Life Science, Software",Bay Area,SilverAnt
-10.073269,-1.8950914,4,"3D Printing, Advanced Materials, Computer Vision, Construction, Industrial Automation, Mining, Robotics",New York,Hyperion Robotics
6.591275,26.646706,5,"CRM, Enterprise Software, Machine Learning, Sales, Sales Automation",Bay Area,Sentia USA
-22.597477,-34.592167,5,"Analytics, Fitness, Intelligent Systems, Machine Learning, Predictive Analytics, Software, Sports",Bay Area,Silicon Valley Exercise Analytics Inc
-10.853389,46.250366,5,"Automotive, Machine Learning, Media and Entertainment, Software",Bay Area,Cobalt Industries
23.78779,0.77966374,4,"Analytics, Big Data, Information Technology, Machine Learning",New York,Scout
